Date,User,Tweet
2023-04-15 10:56:55+00:00,Padderstoel,@mfa_russia @RusEmbUSA @RussianEmbassy @mission_russian @RussiaUN @RusMission_EU @RF_OSCE @RusBotschaft @RusEmbAU @RussianEmbassyC @AmbRusFrance Already back in 2014 it was not western weapons but Russian weapons flowing into Ukraine. Enabling civil war and a massive escalation of the conflict and death toll to that point. Russia's occupation of Crimea was another major factor rising tensions above boiling point. ...
2023-04-15 10:56:49+00:00,DEFENSEEXPRESS,"416 Days of russia-Ukraine War – russian Casualties In Ukraine
https://t.co/1xt4uiFk1N https://t.co/Geyv6wOO5y"
2023-04-15 10:56:49+00:00,elwrshfany,"Russia: Have destroyed ammunition depot near Bakhmut. #ukraine #news #shorts
#Russia #Ukraine #America #Bakhmut #Trump
https://t.co/NDWL4dHbgW"
2023-04-15 10:56:45+00:00,serpentbanned,"@FartherStephen @CrammGillian @ZelenskyyUa Russia has had every opurtunity to build good relations with their neighbors, but have instead chosen to rule with force and threats.

No, NATO did not expand, it accepted new members pushed to them by Russia. And, the reason they begged to be accepted is very clear in Ukraine."
2023-04-15 10:56:43+00:00,Undetermined_US,"@AleksRoessiger @mtracey @AmyZegart Supporter. There are things you don't reveal, that by revealing you are worsening Ukraine's position like Russia knowing about the  AD positions and rockets. These are minor issues that have no direct effect on the war. The UAE working with RU is not something that has to be"
2023-04-15 10:56:43+00:00,Shannon30512619,@POTUS Who gave you the auth to put our special forces in Ukraine to fight Russia ?  I don't recall Congress approving that move
2023-04-15 10:56:33+00:00,lautarismo1981,"affiliati (Cina Russia Iran NordCorea + Brasile forse India). Ecco perché le posizioni di Macron risultano deleterie in quanto minano la compattezza del nostro mondo (col plauso di @ale_dibattista), mentre al contrario la Germania ha ben compreso cosa c'è in ballo con #Taiwan"
2023-04-15 10:56:33+00:00,Jan_Sneeuw1975,"@FKAK88 @Spriter99880 An economy smaller than Italy’s, a military weaker than Ukraine’s and a corruption level similar to Somalia. 

Russia is failing regional power. Cope harder."
2023-04-15 10:56:30+00:00,GlasnostGone,"Speaks volumes for Putin's Russia, that less than half of Russian men drafted are fit for service. Or rather, found fit enough to go die in #Ukraine, or use an umbrella. 😀 https://t.co/u62gOR1y9b"
2023-04-15 10:56:26+00:00,YP_Torg,"@RepMTG Ukraine gave up nukes and missiles, in exchange for a promise of security. USA, Russia and others signed it."
2023-04-15 10:56:25+00:00,HeasleyMichaelR,"@SweetPeaBell326 The US &amp; the west doesn’t need to fight Russia. Ukraine is handling Russia all by themselves. We only advise, train &amp; equip the Ukrainians. The Ukrainians will do the rest! The facts are Russia is and has been a 2nd rate military and not a 1st class we once believed they were!"
2023-04-15 10:56:08+00:00,kptzr,"@SmartUACat yep. this is a serious challenge for ukraine and combined with limited AA, it has the potential to shift agency to russia. 

f16 is the best solution, if you also deliver glidebombs and aim 120 or meteors. im also all for storm shadow and taurus to ukraine."
2023-04-15 10:56:03+00:00,danielbandrew,@RussianEmbassy @mfa_russia @BBCWorld @Telegraph @FT @guardian @ObserverUK @spectator @TheEconomist @Daily_Express @LBCNews You do know it's Russia that invaded Ukraine not the west don't you 😂
2023-04-15 10:56:02+00:00,Espresotveng,"#Russia may continue to put pressure to postpone the #counteroffensive. A major challenge for #Ukraine’s General Staff is to find the weaknesses of the Russian #troops in the defense and go on the offensive
https://t.co/iUdVjX7tSD"
2023-04-15 10:56:01+00:00,Jusoorpost_EN,"But the challenge caused by Russia's invasion of Ukraine, which put an end to cheap gas imports, and the need to quickly cut emissions has upped calls in Germany to delay the withdrawal from nuclear power."
2023-04-15 10:56:01+00:00,thekohler,"@MarxMidwest Since then Ukraine has had multiple democratic elections. Zelensky, a native Russian speaker, was elected partly on a platform of negotiating a peace with Russia that would return Ukraine's territory. Russia ignored him and invaded instead."
2023-04-15 10:55:49+00:00,patrickhebers1,This war between Russia 🇷🇺 and Ukraine  🇺🇦 might be nearing to the end 🤔...
2023-04-15 10:55:45+00:00,ShannonWest8,@mtgreenee The real enemy is you Marge and those like you. Did you forget that WE are a superpower too with nuclear weapons? No one wants a war of any kind but we won’t be bullied by Russia. Or by the likes of you! We stand by Ukraine
